 FECHA         DNI           CODIGO          CANT
20230823       89429489       QUU-384        1
20230823       89298238       YOT-530        1
20230823       76388967       CNQ-172        6
20230823       93160528       QTK-083        3
20230823       43488351       QTK-083        6
20230823       93160528       BRD-969        5
20230823       79464412       MTF-868        6
20230823       69324480       VXS-438        3
20230823       22280452       VRR-793        5
20230823       81114108       BCN-855        4
20230823       55552996       AQS-362        1
20230823       89298238       PFD-286        2
20230823       90237332       PFD-286        4
20230823       29337157       QHC-492        6
20230823       89148118       TKM-141        6
20230823       31193794       JDC-028        1
20230824       42928709       GLC-370        6
20230824       45877001       RDT-761        5
20230824       73914283       OBI-353        4
20230824       87800799       JDC-028        5
20230824       50365593       VVS-017        3
20230824       45783712       VZV-827        1
20230824       35565959       VJI-529        5
20230824       78078115       SSD-176        1
20230824       85949265       LDR-510        6
20230824       54761731       FVB-607        5
20230824       43877279       SSD-176        4
20230824       15210391       OTW-288        3
20230824       11602775       JJN-837        2
20230824       95015539       CSZ-863        2
20230824       46462527       ISU-815        6
20230824       45828535       AVM-258        2
20230824       89148118       JFC-432        5
20230824       25171011       QRC-609        3
20230824       79464412       JXD-139        4
20230824       26976877       AFL-718        5
20230824       26290971       TYF-885        3
20230824       79901434       OXP-732        2
20230824       97403853       BCK-361        5
20230824       24995742       KCO-488        4
20230824       86402303       OQI-373        3
20230824       33713901       ZVA-180        6
20230824       59162728       FEG-454        4
20230824       88956889       TMN-884        1
20230824       36380447       OWN-701        5
20230824       12663268       AHB-459        3
20230824       13245501       AWB-345        1
20230824       50375303       JXD-139        6
20230825       77484838       YGV-332        3
20230825       45783712       SNY-500        5
20230825       49087435       AFL-718        1
20230825       42798099       RDT-761        6
20230825       50375303       SJQ-827        2
20230825       93160528       DUG-251        2
20230825       19829266       UXG-019        2
20230825       93845419       AWB-345        5
20230825       57263719       YOT-530        5
20230825       87800799       EUZ-452        2
20230825       95751208       BWD-036        3
20230825       88995291       HLR-109        2
20230825       71378466       OQI-373        1
20230825       58187172       KBY-991        6
20230825       73786035       AQS-362        1
20230825       87800799       ICX-503        2
20230825       13245501       ZWF-661        1
20230825       62324793       YJD-279        5
20230825       96258632       EBI-299        5
20230825       73535476       LDR-510        2
20230825       26976877       JXD-139        2
20230825       32821689       MMA-577        5
20230825       16151792       CNQ-172        1
20230825       52097922       GBD-525        5
20230825       83236386       MTF-868        2
20230825       40348917       SNY-500        4
20230825       62566305       DIQ-718        4
20230825       11602775       XLF-273        4
20230825       79140840       TYF-885        2
20230825       67418025       QUU-384        1
20230825       79901434       AHB-459        3
20230825       77642521       QUU-384        5
20230825       35565959       CIM-038        4
20230825       87800799       KWP-672        2
20230825       57263719       TZY-323        6
20230826       26976877       XZG-521        3
20230826       79901434       TXM-139        2
20230826       40348917       VRR-793        3
20230826       31611146       XSD-310        1
20230826       81114108       VCL-867        1
20230826       57263719       ZWF-661        5
20230826       99842319       ZAF-449        1
20230826       32904023       KQQ-136        1
20230826       27912250       FLJ-040        3
20230826       77191257       TZY-323        3
20230826       73535476       KJX-387        4
20230826       29337157       WZD-331        4
20230826       54761731       VZV-827        1
20230826       42157219       KWP-672        6
20230826       54761731       ZVA-180        4
20230826       94080926       CIM-038        2
20230826       57690875       XLF-273        4
20230826       86402303       OQI-373        3
20230826       24995742       BWD-036        1
20230826       78757121       ARS-231        4
20230826       13245501       HFC-845        6
20230826       90365520       EUZ-452        6
20230826       78757121       GXF-122        1
20230826       59407188       RDT-761        5
20230826       38637282       FLJ-040        6
20230826       42157219       III-576        6
20230826       83236386       OPT-996        2
20230826       45828535       QJO-060        6
20230826       54761731       DEV-433        3
20230826       95161027       VVS-017        5
20230826       77484838       AFL-718        1
20230826       83505958       MQR-442        1
20230826       71378466       BIT-434        4
20230826       17972674       UWA-476        4
20230826       79475585       BWD-036        5
20230826       11602775       JJN-837        1
20230826       78922174       AFL-718        5
20230826       49087435       BCK-361        3
20230826       86828079       MQR-442        3
20230826       27912250       ICX-503        1
20230827       57690875       XTE-383        6
20230827       17913944       XLF-273        4
20230827       54716824       CRU-009        6
20230827       78922174       OQI-373        3
20230827       66409237       CRU-009        4
20230827       45877001       GBJ-693        5
20230827       84165595       JFC-432        3
20230827       38637282       OFS-384        1
20230827       26976877       YUQ-590        4
20230827       13245501       JCW-489        5
20230827       22777006       XLF-273        2
20230827       55552996       SSD-176        6
20230827       26233063       JFC-432        4
20230827       91897732       OXP-732        2
20230827       63437380       YEZ-591        5
20230827       57263719       OTH-462        2
20230827       38913831       FLW-631        3
20230827       26976877       KQQ-136        3
20230827       95751208       BRD-969        4
20230827       67418025       EVN-510        5
20230827       78078115       XOA-735        2
20230827       78757121       KJX-387        4
20230827       86828079       YGV-332        1
20230827       89863424       SSE-115        4
20230827       90237332       OQI-373        1
20230827       79140840       HLR-109        1
20230827       96659352       KQA-580        6
20230827       25171011       CIM-038        1
20230827       41036366       AQS-362        2
20230827       40112594       KSO-608        6
20230827       43877279       SNY-500        4
20230827       73185299       QUU-384        3
20230827       60574154       III-576        6
20230827       15561764       FYF-898        2
20230827       11602775       YYK-309        3
20230827       12663268       XSD-310        6
20230827       37110873       YZD-580        5
20230827       32565207       UXG-019        4
20230827       52097922       ISU-815        5
20230827       43053402       YOT-530        2
20230827       73914283       OBI-353        1
20230827       79140840       DFF-034        3
20230827       87813843       MLE-193        4
20230827       63437380       PJG-338        2
20230827       22777006       YYK-309        3
20230828       62324793       OPJ-039        2
20230828       95161027       OQI-373        1
20230828       89863424       OTH-462        6
20230828       43053402       FVQ-662        6
20230828       69975105       HFM-021        6
20230828       43877279       QUU-384        5
20230828       79372768       QVJ-982        6
20230828       40112594       BCK-361        2
20230828       60574154       KDA-627        5
20230828       80048864       PPX-620        1
20230828       26976877       SSE-115        4
20230828       45828535       TZY-323        6
20230828       73786035       DEN-125        4
20230828       35565959       DFJ-952        2
20230828       86241107       CIM-038        2
20230828       26233063       KSO-608        3
20230828       23928045       OXP-732        3
20230828       66409237       UXG-019        4
20230828       71463316       BCN-855        4
20230828       42157219       KCO-488        2
20230828       32904023       KJX-387        3
20230828       79475585       KQQ-136        6
20230828       71378466       ARS-231        6
20230828       71463316       UWA-476        3
20230828       43043986       QFP-254        5
20230828       85871751       MYC-756        2
20230828       35584593       AVM-258        4
20230828       44679500       AWB-345        1
20230828       89298238       QFP-254        2
20230828       24995742       YMU-875        3
20230828       32565207       FVQ-662        5
20230828       59407188       BIT-434        6
20230828       80048864       BCK-361        3
20230828       57690875       CIM-038        3
20230828       42928709       NSM-283        5
20230828       89148118       XLF-273        5
20230828       17972674       ZWF-661        1
20230828       57263719       BWD-036        3
20230828       94080926       NMV-644        5
20230828       78922174       TKM-141        5
20230828       76388967       SJQ-827        5
20230828       79464412       CJE-310        5
20230828       77484838       UWA-476        1
20230828       42157219       OTS-581        5
20230829       71378466       XSD-310        3
20230829       45828535       YMU-875        5
20230829       53166028       ONB-903        3
20230829       69639726       DON-719        1
20230829       95161027       FQG-293        4
20230829       86241107       FEG-454        2
20230829       31193794       BXY-119        5
20230829       20864087       YUQ-590        5
20230829       44229880       SNY-500        3
20230829       87800799       BTO-226        3
20230829       62324793       FQG-293        1
20230829       81114108       RBE-789        2
20230829       16151792       AQS-362        1
20230829       43053402       VRR-793        2
20230829       87800799       WZD-331        2
20230829       55552996       SJD-818        1
20230829       29847168       BCK-361        1
20230829       88956889       HFM-021        6
20230829       71463316       EBI-299        6
20230829       77484838       UDR-957        3
20230829       45877001       PJG-338        2
20230829       53166028       QHC-492        1
20230829       77642521       DFJ-952        5
20230829       71463316       KCO-488        5
20230829       52097922       OWN-701        2
20230829       79464412       NSM-283        2
20230829       46462527       KWP-672        3
20230829       16552775       CNN-411        5
20230829       76388967       EBI-299        5
20230829       25171011       VCL-867        3
20230829       98140264       DFF-034        2
20230830       45877001       KBY-991        6
20230830       15210391       AQS-362        2
20230830       73185299       AVM-258        3
20230830       97403853       GBJ-693        4
20230830       89863424       QRC-609        3
20230830       62324793       XBD-314        5
20230830       96659352       KQQ-136        3
20230830       35565959       JXD-139        5
20230830       89429489       VCL-867        6
20230830       15210391       DON-719        2
20230830       85949265       VRR-793        5
20230830       48184351       KQA-580        2
20230830       86402303       RBE-789        6
20230830       26290971       GKG-558        3
20230830       32565207       TKM-141        4
20230830       23928045       TKM-141        5
20230830       42928709       QIL-029        4
20230830       62566305       GXF-122        5
20230830       87800799       GBD-525        6
20230830       79140840       OTH-462        1
20230830       69975105       WZD-331        6
20230830       96258632       QHC-492        2
20230830       32821689       ONB-903        3
20230830       19829266       TXM-139        3
20230830       63437380       AWB-345        4
20230830       83505958       TYF-885        5
20230830       50365593       AFL-718        5
20230830       97403853       KQQ-136        6
20230831       97403853       YJD-279        3
20230831       69975105       TMJ-043        6
20230831       67418025       FEG-454        2
20230831       93845419       QIL-029        6
20230831       87813843       OQI-373        1
20230831       89148118       EBI-299        6
20230831       86402303       HFM-021        6
20230831       13245501       QIL-029        2
20230831       42798099       CNN-411        6
20230831       64394265       OFS-384        5
20230831       81114108       DFF-034        5
20230831       54716824       ZEX-027        6
20230831       37110873       VDD-853        4
20230831       54716824       UDR-957        1
20230831       90365520       KBY-991        6
20230831       45828535       XSD-310        4
20230831       48467976       JDQ-505        5
20230831       90237332       QFP-254        3
20230831       22777006       FCN-617        1
20230831       25171011       AWB-345        6
20230831       87800799       VRR-793        2
20230831       46462527       LWG-915        6
20230831       71463316       AWT-354        4
20230831       37110873       QUU-384        4
20230831       62324793       LDR-510        1
20230831       45783712       YUQ-590        2
20230831       73185299       OTH-462        3
20230831       35584593       SSD-176        4
20230901       49087435       III-576        2
20230901       79140840       JXD-139        4
20230901       41036366       QVJ-982        4
20230901       77191257       ZEX-027        6
20230901       31611146       FVQ-662        4
20230901       84165595       HFM-021        6
20230901       86241107       UXG-019        2
20230901       19829266       RDT-761        3
20230901       71984468       TZY-323        1
20230901       22280452       UCX-285        3
20230901       16151792       IDO-503        6
20230901       79420973       SSE-115        5
20230901       17913944       DEN-125        1
20230901       87813843       XSD-310        3
20230901       35565959       BZS-261        1
20230901       78922174       XBD-314        3
20230901       40348917       BMJ-772        1
20230901       43043986       SSD-176        5
20230901       78078115       FQG-293        4
20230901       43488351       DIQ-718        6
20230901       89298238       UJV-290        4
20230901       93160528       YYU-726        1
20230901       91897732       XZR-640        5
20230901       77191257       QVJ-982        5
20230901       89148118       AFL-718        1
20230901       96659352       ADX-669        4
20230901       32904023       DUG-251        4
20230901       42798099       TMN-884        5
20230901       13245501       VXS-438        3
20230901       73185299       QHC-492        3
20230901       83236386       UJV-290        5
20230901       50365593       LWG-915        3
20230901       84165595       DFJ-952        1
20230901       28390487       GLC-370        2
20230902       79140840       QRC-609        5
20230902       40348917       DFJ-952        2
20230902       57263719       DOV-560        4
20230902       45783712       SSD-176        6
20230902       53166028       TXM-139        3
20230902       79372768       EUZ-452        5
20230902       90365520       VDD-853        5
20230902       89429489       BXY-119        3
20230902       90237332       TKM-141        3
20230902       33713901       UWA-476        2
20230902       79420973       GXF-122        3
20230902       89863424       FVB-607        1
20230902       77191257       KWP-672        2
20230902       29337157       HFM-021        4
20230902       78078115       DFJ-952        5
20230902       69324480       DIQ-718        1
20230902       13245501       BXY-119        5
20230902       33397650       VJI-529        6
20230902       15210391       VXS-438        4
20230902       50365593       TMN-884        6
20230902       55552996       QTK-083        1
20230902       59407188       LYZ-614        3
20230902       32821689       MTF-868        5
20230902       79372768       GLC-370        4
20230902       89298238       YOT-530        4
20230902       32904023       QFP-254        4
20230902       88956889       UWA-476        6
20230902       24995742       DON-719        3
20230902       88956889       MYC-756        4
20230902       66409237       AWT-354        6
20230902       66409237       DFF-034        4
20230902       20864087       JDQ-505        6
20230902       94080926       TXM-139        5
20230902       98140264       CJE-310        3
20230902       78922174       EJW-346        6
20230902       43053402       MMA-577        6
20230902       42928709       OQI-373        5
20230902       50375303       AFL-718        1
20230902       20864087       JFC-432        1
20230902       95161027       III-576        5
20230902       15210391       TZY-323        3
20230902       50365593       JDC-028        6
20230902       84165595       RDT-761        6
20230902       98140264       BRD-969        1
20230902       41036366       SJD-818        4
20230902       37110873       SSD-176        1
20230902       20864087       BXY-119        4
20230902       79901434       OBI-353        6
20230902       86828079       QIL-029        5
20230903       54761731       OTS-581        5
20230903       52097922       XZG-521        4
20230903       16151792       AQS-362        1
20230903       40112594       FVQ-662        4
20230903       99842319       DUG-251        2
20230903       32904023       RBE-789        6
20230903       62566305       AVM-258        1
20230903       33713901       VVS-017        1
20230903       52097922       XSD-310        6
20230903       89429489       UXG-019        1
20230903       79901434       CSZ-863        5
20230903       52097922       UTN-601        2
20230903       96659352       GBJ-693        3
20230903       37110873       FCN-617        6
20230903       57263719       OTH-462        5
20230903       59407188       OWN-701        1
20230903       69324480       UOD-420        3
20230903       23928045       TMN-884        2
20230903       42798099       OQI-373        2
20230903       26976877       VTV-269        4
20230903       71378466       FVQ-662        2
20230903       12663268       YYU-726        4
20230903       79901434       ZEX-027        2
20230903       96258632       CRU-009        2
20230903       43043986       ZEX-027        1
20230903       15561764       GBJ-693        2
20230903       95751208       UOD-420        4
20230903       73535476       UWA-476        5
20230903       16552775       AWB-345        6
20230903       73535476       FLJ-040        4
20230903       26290971       PVZ-181        3
20230903       50375303       CRU-009        5
20230904       94080926       SPR-580        5
20230904       45783712       YMU-875        4
20230904       48184351       TXM-139        1
20230904       25171011       DFJ-952        4
20230904       50375303       VXS-438        4
20230904       36380447       HLR-109        2
20230904       91897732       PFD-286        2
20230904       77191257       ZWF-661        4
20230904       76388967       PFD-286        6
20230904       69975105       FQG-293        5
20230904       88995291       MTF-868        3
20230904       27912250       QFR-958        3
20230904       50375303       YJD-279        5
20230904       35565959       QRC-609        5
20230904       26233063       UWA-476        1
20230904       42928709       QFP-254        5
20230904       66409237       BRD-969        3
20230904       88956889       UWA-476        3
20230904       42928709       XLF-273        4
20230904       44229880       JXD-139        4
20230904       38913831       BCN-855        3
20230904       88956889       YUQ-590        2
20230904       12663268       RAH-420        3
20230904       85949265       JFC-432        4
20230904       31611146       YOT-530        4
20230904       91897732       TMN-884        2
20230904       63437380       III-576        5
20230904       32565207       IDO-503        6
20230904       50375303       KQA-580        5
20230904       69324480       JCW-489        5
20230904       33397650       IHG-413        3
20230905       67418025       YYU-726        6
20230905       89298238       ICX-503        3
20230905       13245501       KJX-387        5
20230905       62566305       CNQ-172        3
20230905       73914283       BRD-969        3
20230905       69324480       VJI-529        1
20230905       76388967       DOV-560        2
20230905       64394265       YUQ-590        1
20230905       12663268       BMJ-772        1
20230905       89298238       JXD-139        3
20230905       16151792       TZY-323        3
20230905       22280452       XSD-310        2
20230905       98589725       VRR-793        1
20230905       43877279       TYF-885        5
20230905       80048864       RDT-761        5
20230905       42798099       AQS-362        1
20230905       55552996       UXG-019        6
20230905       54716824       SPR-580        3
20230905       63437380       KQA-580        2
20230905       93845419       CIM-038        5
20230905       46462527       KCO-488        4
20230905       13245501       XOA-735        5
20230905       60574154       BWD-036        2
